SprintName,StartDate,FinishDate
Q4-2021-Iteration,,
Sprint40,10/4/2021,10/10/2021
Sprint41,10/11/2021,10/17/2021
Sprint42,10/18/2021,10/24/2021
Sprint43,10/25/2021,10/31/2021
Sprint44,11/1/2021,11/7/2021
Sprint45,11/8/2021,11/14/2021
Sprint46,11/15/2021,11/21/2021
Sprint47,11/22/2021,11/28/2021
Sprint48,11/29/2021,12/5/2021
Sprint49,12/6/2021,12/12/2021
Sprint50,12/13/2021,12/19/2021
Sprint51,12/20/2021,12/26/2021
Sprint52,12/27/2021,1/2/2022
Q1-2022-Iteration,1/3/2022,4/3/2022
Sprint1,1/3/2022,1/9/2022
Sprint2,1/10/2022,1/16/2022
Sprint3,1/17/2022,1/23/2022
Sprint4,1/24/2022,1/30/2022
Sprint5,1/31/2022,2/6/2022
Sprint6,2/7/2022,2/13/2022
Sprint7,2/14/2022,2/20/2022
Sprint8,2/21/2022,2/27/2022
Sprint9,2/28/2022,3/6/2022
Sprint10,3/7/2022,3/13/2022
Sprint11,3/14/2022,3/20/2022
Sprint12,3/21/2022,3/27/2022
Sprint13,3/28/2022,4/3/2022
Q2-2022-Iteration,4/4/2022,7/3/2022
Sprint14,4/4/2022,4/10/2022
Sprint15,4/11/2022,4/17/2022
Sprint16,4/18/2022,4/24/2022
Sprint17,4/25/2022,5/1/2022
Sprint18,5/2/2022,5/8/2022
Sprint19,5/9/2022,5/15/2022
Sprint20,5/16/2022,5/22/2022
Sprint21,5/23/2022,5/29/2022
Sprint22,5/30/2022,6/5/2022
Sprint23,6/6/2022,6/12/2022
Sprint24,6/13/2022,6/19/2022
Sprint25,6/20/2022,6/26/2022
Sprint26,6/27/2022,7/3/2022
Q3-2022-Iteration,7/4/2022,10/2/2022
Sprint27,7/4/2022,7/10/2022
Sprint28,7/11/2022,7/17/2022
Sprint29,7/18/2022,7/24/2022
Sprint30,7/25/2022,7/31/2022
Sprint31,8/1/2022,8/7/2022
Sprint32,8/8/2022,8/14/2022
Sprint33,8/15/2022,8/21/2022
Sprint34,8/22/2022,8/28/2022
Sprint35,8/29/2022,9/4/2022
Sprint36,9/5/2022,9/11/2022
Sprint37,9/12/2022,9/18/2022
Sprint38,9/19/2022,9/25/2022
Sprint39,9/26/2022,10/2/2022
Q4-2022-Iteration,10/3/2022,1/1/2023
Sprint40,10/3/2022,10/9/2022
Sprint41,10/10/2022,10/16/2022
Sprint42,10/17/2022,10/23/2022
Sprint43,10/24/2022,10/30/2022
Sprint44,10/31/2022,11/6/2022
Sprint45,11/7/2022,11/13/2022
Sprint46,11/14/2022,11/20/2022
Sprint47,11/21/2022,11/27/2022
Sprint48,11/28/2022,12/4/2022
Sprint49,12/5/2022,12/11/2022
Sprint50,12/12/2022,12/18/2022
Sprint51,12/19/2022,12/25/2022
Sprint52,12/26/2022,1/1/2023
